회원번호,회원상태,성별,나이,등록카드,결혼,구독여부,주소지,세부주소지
18764160,정상회원,여,68,농협중앙회,기혼,False,서울특별시,성동구
18792000,정상회원,남,83,연결앱결제,,False,강원도,강릉시
18942336,정상회원,여,39,신한은행,기혼,False,인천광역시,중구
18949760,정상회원,여,73,기업은행,,,강원도,홍천군
19391488,정상회원,여,52,연결앱결제,기혼,False,대전광역시,중구
19627200,정상회원,여,45,기업은행,,False,전라북도,군산시
19727424,정상회원,여,50,롯데카드,기혼,False,부산광역시,기장군
19996544,정상회원,여,45,삼성카드,,False,경기도,구리시
20235968,정상회원,여,53,농협중앙회,,,경기도,수원시
20258240,정상회원,여,43,우체국,기혼,False,전라북도,완주군
20588608,정상회원,여,43,롯데카드,,False,인천광역시,남동구
20636864,정상회원,여,58,우리은행,,False,경기도,수원시
21134272,정상회원,여,41,롯데카드,,False,울산광역시,남구
21457216,정상회원,여,48,하나은행,,False,경상북도,경주시
21982464,정상회원,여,42,현대카드,기혼,,경상남도,사천시
22112384,정상회원,여,52,연결앱결제,,False,경기도,의정부시
22259008,정상회원,여,46,신한은행,기혼,,강원도,정선군
22270144,정상회원,여,44,롯데카드,,False,전라남도,영암군
22990272,정상회원,여,62,롯데카드,,False,인천광역시,남동구
23437568,정상회원,여,48,농협중앙회,기혼,,경기도,안성시
23485824,정상회원,여,41,연결앱결제,기혼,False,경상남도,거창군
23573056,정상회원,여,41,신한카드,기혼,,서울특별시,양천구
24098304,정상회원,여,58,신한은행,기혼,True,경기도,안양시
24883392,정상회원,여,65,롯데카드,기혼,False,전라북도,전주시
25145088,정상회원,여,47,연결앱결제,,False,경상남도,김해시
26110208,정상회원,여,38,국민은행,기혼,False,경기도,시흥시
26355200,정상회원,여,64,연결앱결제,미혼,,강원도,춘천시
26676288,정상회원,여,38,부산은행,기혼,False,경기도,평택시
27021504,정상회원,여,45,롯데카드,기혼,False,경기도,안성시
27066048,정상회원,여,49,농협중앙회,기혼,False,경상북도,안동시
27210816,정상회원,여,48,롯데카드,,False,경기도,오산시
27387136,정상회원,여,49,농협중앙회,미혼,False,광주광역시,광산구
28394944,정상회원,여,45,농협중앙회,기혼,True,대구광역시,북구
28871936,정상회원,여,40,롯데카드,기혼,False,경기도,양주시
29658880,정상회원,여,66,롯데카드,,False,세종특별자치시,새롬중앙로
29868608,정상회원,여,57,농협중앙회,,False,경상북도,경주시
30215680,정상회원,여,46,기업은행,,,강원도,철원군
31691200,정상회원,여,39,하나은행,기혼,False,부산광역시,부산진구
37188672,정상회원,여,54,농협중앙회,,False,경상남도,양산시
37253632,정상회원,여,43,BC카드,기혼,False,세종특별자치시,연서면
37314880,정상회원,여,67,롯데카드,기혼,False,경상북도,울진군
37415104,정상회원,여,48,부산은행,,,경상남도,사천시
37584000,정상회원,여,43,롯데카드,기혼,False,경기도,평택시
38270720,정상회원,여,62,신한카드,,False,부산광역시,부산진구
38588096,정상회원,여,42,씨티은행,기혼,True,경기도,시흥시
38593664,정상회원,여,48,신한은행,미혼,,전라남도,완도군
38808960,정상회원,여,63,삼성카드,,False,부산광역시,부산진구
38842368,정상회원,여,51,현대카드,기혼,False,경상남도,산청군
38859072,정상회원,여,49,국민은행,,False,부산광역시,사하구
38862784,정상회원,여,64,롯데카드,기혼,False,부산광역시,기장군
38866496,탈퇴,여,64,신한은행,기혼,,경기도,이천시
38903616,정상회원,여,55,우리은행,기혼,False,인천광역시,부평구
38918464,정상회원,여,58,국민카드,,True,강원도,태백시
38933312,정상회원,여,65,롯데카드,,False,경상남도,창원시
38955584,정상회원,여,56,롯데카드,기혼,False,인천광역시,남동구
38959296,정상회원,여,49,하나은행,기혼,False,부산광역시,수영구
38968576,정상회원,여,65,국민은행,,False,경기도,수원시
39053952,정상회원,여,52,국민은행,기혼,,부산광역시,부산진구
39284096,정상회원,여,47,농협중앙회,기혼,False,서울특별시,서대문구
39287808,정상회원,여,40,국민은행,,False,제주특별자치도,제주시
39376896,정상회원,여,44,BC카드,기혼,False,인천광역시,부평구
39382464,정상회원,여,42,연결앱결제,기혼,False,부산광역시,부산진구
39547648,정상회원,여,53,농협중앙회,기혼,,경상북도,울진군
39640448,정상회원,여,39,연결앱결제,기혼,,부산광역시,부산진구
39653440,정상회원,여,70,연결앱결제,,False,전라북도,전주시
39820480,정상회원,여,61,국민은행,기혼,True,경기도,수원시
39955968,정상회원,여,65,신한은행,,False,경상남도,사천시
40124864,정상회원,여,48,연결앱결제,기혼,False,강원도,인제군
40822720,정상회원,여,47,신한은행,기혼,False,대전광역시,서구
40898816,정상회원,여,49,하나은행,기혼,False,경기도,김포시
40969344,정상회원,여,55,우체국,,False,전라남도,목포시
41104832,정상회원,여,44,국민은행,기혼,False,충청남도,천안시
41307136,정상회원,여,45,신한은행,기혼,False,부산광역시,수영구
41396224,정상회원,여,54,롯데카드,기혼,False,경기도,시흥시
41600384,정상회원,여,58,신한은행,,False,광주광역시,서구
41739584,정상회원,여,51,롯데카드,,True,울산광역시,북구
41754432,정상회원,여,63,연결앱결제,,True,대구광역시,달서구
42058816,정상회원,여,48,하나은행,,False,서울특별시,서초구
42097792,정상회원,여,45,롯데카드,기혼,False,경기도,용인시
42140480,정상회원,여,39,연결앱결제,기혼,False,인천광역시,부평구
42307520,정상회원,여,45,BC카드,,False,부산광역시,서구
42402176,정상회원,여,40,농협중앙회,기혼,False,서울특별시,양천구
42474560,정상회원,여,42,신한은행,,,울산광역시,울주군
42955264,정상회원,여,59,농협중앙회,기혼,False,제주특별자치도,서귀포시
43343168,정상회원,여,49,롯데카드,,True,광주광역시,서구
43426688,정상회원,여,47,신한은행,,False,부산광역시,부산진구
43872128,정상회원,여,50,신한은행,기혼,False,인천광역시,남동구
43924096,정상회원,여,44,광주은행,기혼,False,서울특별시,광진구
44076288,정상회원,여,52,연결앱결제,기혼,False,전라남도,목포시
44486464,정상회원,여,41,우리은행,,True,경기도,성남시
44620096,정상회원,여,44,국민은행,,False,경상남도,창원시
44666496,정상회원,여,39,신한은행,,False,부산광역시,사하구
44844672,정상회원,여,48,우리은행,,False,경기도,수원시
45022848,정상회원,남,51,국민은행,,False,경상북도,포항시
45364352,정상회원,여,48,롯데카드,기혼,False,경기도,오산시
45520256,정상회원,여,53,연결앱결제,,False,경기도,용인시
45932288,정상회원,여,43,하나은행,미혼,True,부산광역시,금정구
46038080,정상회원,여,43,농협중앙회,,False,울산광역시,울주군
46056640,정상회원,여,47,신한카드,,False,전라북도,익산시
46348032,정상회원,여,45,국민카드,기혼,False,서울특별시,서대문구
46487232,정상회원,여,45,롯데카드,기혼,False,경기도,파주시
46568896,정상회원,여,47,연결앱결제,,False,서울특별시,강서구
46752640,정상회원,여,54,롯데카드,,False,대전광역시,서구
46995776,정상회원,여,43,롯데카드,,False,인천광역시,부평구
47663936,정상회원,여,54,기업은행,미혼,True,경기도,포천시
48088960,정상회원,여,44,신한은행,,False,전라남도,목포시
48183616,정상회원,여,42,신한은행,미혼,False,경기도,평택시
48296832,정상회원,여,43,농협중앙회,기혼,False,서울특별시,강남구
48398912,정상회원,여,50,신한카드,기혼,False,경기도,평택시
48590080,정상회원,여,44,하나은행,기혼,False,전라북도,전주시
48638336,정상회원,여,59,하나은행,기혼,False,울산광역시,울주군
48859200,정상회원,남,33,국민은행,기혼,False,충청북도,증평군
49035520,정상회원,여,50,삼성카드,미혼,False,경상남도,거제시
49083776,정상회원,여,69,연결앱결제,기혼,False,서울특별시,마포구
49178432,정상회원,남,61,국민카드,,False,부산광역시,사하구
49742656,정상회원,여,38,국민은행,기혼,False,충청북도,진천군
50290176,정상회원,여,44,BC카드,미혼,False,전라남도,순천시
50650240,정상회원,여,47,롯데카드,미혼,True,부산광역시,기장군
50776448,정상회원,여,56,우리은행,미혼,,경상북도,안동시
50793152,정상회원,여,72,농협중앙회,미혼,False,부산광역시,남구
