제품번호,물품명,물품대분류,물품중분류,상품중량
100021V2_0,2단무늬컵,식기/편백,자기,1p
100022V2_1,7곡딸기롤과자,과자,스낵,100g/10개입
100023V2_2,7곡참식,식사대용,선식/생식,700g
100024V2_3,가리비,생물수산,패류/갑각류,1.5kg
100025V2_3,가리비,생물수산,패류/갑각류,1kg
100026V2_4,가마솥3인용,식기/편백,옹기,
100027V2_5,가마솥5인용,식기/편백,옹기,
100028V2_6,가브리살,중량(정육),돼지(중량),무항생제-성남용인
100029V2_7,가브리살-성남용인,중량(정육),돼지(중량),
1000210V2_8,가시복분자원액,음료,발효음료,병:700ml
1000211V2_9,가시복분자즙,음료,과즙,100ml*10봉
1000212V2_9,가시복분자즙,음료,과즙,100ml*20봉
1000213V2_9,가시복분자즙,음료,과즙,100ml/1봉
1000214V2_10,가시오이,열매채소,가시오이,2개
1000215V2_11,가자미,냉동수산,냉동생선,2~4마리/300g
1000216V2_12,가지,열매채소,가지,2개
1000217V2_12,가지,열매채소,가지,4개
1000218V2_12,가지,열매채소,가지,토종:2개
1000219V2_13,가지말림,말린나물/건재,가지말림,100g
1000220V2_14,각굴,생물수산,패류/갑각류,까지않은굴/2.5kg
1000221V2_15,간고등어살,냉동수산,냉동생선,3쪽/240g
1000222V2_15,간고등어살,냉동수산,냉동생선,대/2쪽/300g
1000223V2_15,간고등어살,냉동수산,냉동생선,특/2쪽/400g
1000224V2_16,간삼치살,냉동수산,냉동생선,2쪽/400g
1000225V2_17,간임연수어,냉동수산,냉동생선,2~3마리/350g
1000226V2_18,간장꽃게장,수산가공,게장/게살,2마리/400g
1000227V2_18,간장꽃게장,수산가공,게장/게살,2마리/500g
1000228V2_19,간장샐러드소스,소스/기타양념,소스,220ml
1000229V2_20,간장소스순살닭강정,육가공,돈가스/분쇄가공,"강정400g,소스110g"
1000230V2_21,간편한상 매콤주꾸미,수산가공,수산가공반찬,300g
1000231V2_22,갈매기살,중량(정육),돼지(중량),무항생제-성남용인
1000232V2_23,갈매기살-성남용인,중량(정육),돼지(중량),
1000233V2_24,갈색만가닥버섯,버섯,만가닥버섯,150g
1000234V2_24,갈색만가닥버섯,버섯,만가닥버섯,300g
1000235V2_25,갈색양송이버섯,버섯,양송이버섯,140g
1000236V2_25,갈색양송이버섯,버섯,양송이버섯,300g
1000237V2_26,갈치,냉동수산,냉동생선,200g
1000238V2_26,갈치,냉동수산,냉동생선,300g
1000239V2_27,갈치선물,냉동수산,냉동생선,1마리/소분용
1000240V2_28,갈치선물모음,냉동수산,냉동생선,3마리
1000241V2_29,감귤/비가림,과일,귤(비가림),유:3kg
