temp,SLABweight,SLABwide,SLABthick,SLABlong,RolljoblinLT,SHEARinLT,TSmean
571,30.6 ton,1570 mm,250 mm,9970 mm,14.3,8,255
351,23.65 ton,1020 mm,250 mm,11860 mm,10.3,13.4,340
460,34.63 ton,1500 mm,250 mm,11810 mm,14.6,7.5,253
488,28.94 ton,1570 mm,250 mm,9430 mm,14.4,7.8,252
335,34.81 ton,1500 mm,250 mm,11870 mm,14.7,7.2,253
420,29.06 ton,1570 mm,250 mm,9560 mm,14.5,7.7,255
424,23.65 ton,1020 mm,250 mm,11860 mm,10.4,13.3,339
353,22.77 ton,1400 mm,250 mm,8320 mm,11.1,16.5,339
448,22.77 ton,1400 mm,250 mm,8320 mm,11.1,16.6,338
756,25.95 ton,1290 mm,250 mm,10290 mm,6.2,5.2,343
418,23.87 ton,1040 mm,250 mm,11740 mm,8.4,13.1,328
362,18.34 ton,1090 mm,250 mm,8810 mm,8.4,13.4,328
456,23.18 ton,1260 mm,250 mm,9410 mm,6,13.1,340
365,23.65 ton,1020 mm,250 mm,11860 mm,10,16.4,347
350,23.65 ton,1020 mm,250 mm,11860 mm,10,16.6,346
236,33.45 ton,1490 mm,246 mm,11670 mm,12.2,19.4,319
361,16.38 ton,1440 mm,250 mm,5820 mm,12.3,18.7,321
312,29.06 ton,1440 mm,246 mm,10490 mm,12.4,18.7,325
273,31.66 ton,1390 mm,246 mm,11840 mm,12.6,18.2,312
422,34.98 ton,1520 mm,250 mm,11770 mm,12.7,8.6,267
577,23.62 ton,1490 mm,250 mm,8110 mm,12.8,7.9,271
521,23.62 ton,1490 mm,250 mm,8110 mm,12.9,7.6,271
373,29.44 ton,1500 mm,250 mm,10040 mm,13,5.5,254
439,30.56 ton,1440 mm,250 mm,11010 mm,13.3,7.7,268
316,27.8 ton,1290 mm,250 mm,11240 mm,13.5,20.8,309
318,23.65 ton,1020 mm,250 mm,11860 mm,9.6,16.4,345
289,23.65 ton,1020 mm,250 mm,11860 mm,9.7,16.5,344
345,21.6 ton,1020 mm,250 mm,10830 mm,9.9,16.2,347
180,17.07 ton,1000 mm,250 mm,8730 mm,10.4,13.4,325
491,34.8 ton,1520 mm,250 mm,11710 mm,13.1,9.2,268
448,34.02 ton,1490 mm,250 mm,11680 mm,13.2,8.8,266
526,34.99 ton,1570 mm,250 mm,11400 mm,13.8,8.3,254
490,25.69 ton,1260 mm,250 mm,10430 mm,9.2,10.1,344
593,27.8 ton,1500 mm,250 mm,9480 mm,12.6,5.3,254
612,24.03 ton,1570 mm,250 mm,7830 mm,11,8.1,263
344,23.07 ton,1350 mm,250 mm,8740 mm,9.3,17.6,445
624,24.46 ton,1570 mm,250 mm,7970 mm,11,7.5,266
288,28.97 ton,1570 mm,250 mm,9440 mm,6.6,20.4,257
615,21.21 ton,1000 mm,250 mm,10850 mm,9.9,3.3,416
372,30.44 ton,1360 mm,250 mm,11450 mm,14.9,13.1,339
344,33.91 ton,1490 mm,250 mm,11640 mm,12.1,19.7,319
323,33.91 ton,1490 mm,250 mm,11640 mm,12.2,19.8,319
269,31.19 ton,1440 mm,244 mm,11350 mm,12.3,18.7,322
309,28.27 ton,1390 mm,244 mm,10660 mm,12.3,18.2,315
304,23.87 ton,1040 mm,250 mm,11740 mm,11,36.4,297
278,26.2 ton,1390 mm,246 mm,9800 mm,12.7,18.5,314
271,30.09 ton,1300 mm,250 mm,11840 mm,12.7,10.7,351
319,34.37 ton,1570 mm,246 mm,11380 mm,6.9,19.4,256
291,34.62 ton,1530 mm,250 mm,11690 mm,7,18.1,252
556,29.24 ton,1260 mm,250 mm,11870 mm,13,10.7,352
491,24.46 ton,1570 mm,250 mm,7970 mm,10.9,7.4,266
361,23.65 ton,1020 mm,250 mm,11860 mm,10,16.5,347
560,25.51 ton,1570 mm,250 mm,8310 mm,14.3,8,253
418,23.65 ton,1020 mm,250 mm,11860 mm,10.6,14.7,353
247,22.62 ton,1350 mm,250 mm,8570 mm,9.3,17.3,444
611,19.39 ton,1260 mm,250 mm,7870 mm,7.8,11.3,431
377,23.65 ton,1020 mm,250 mm,11860 mm,10.7,14.8,353
413,23.65 ton,1020 mm,250 mm,11860 mm,10.9,15.2,353
497,19.59 ton,1300 mm,250 mm,7710 mm,7.9,12.3,427
446,29.89 ton,1390 mm,250 mm,11000 mm,11.1,9.6,338
459,20 ton,1260 mm,250 mm,8120 mm,9.4,11.9,431
288,31.09 ton,1570 mm,250 mm,10130 mm,11,11.3,299
706,21.21 ton,1000 mm,250 mm,10850 mm,9.8,3.1,416
419,32.82 ton,1550 mm,250 mm,10830 mm,11.1,11.8,245
334,32.82 ton,1550 mm,250 mm,10830 mm,11.2,11.8,245
279,28.49 ton,1490 mm,246 mm,10110 mm,11.3,18,311
333,23.65 ton,1020 mm,250 mm,11860 mm,9.6,16.5,344
257,23.65 ton,1020 mm,250 mm,11860 mm,9.6,16.5,343
677,21.21 ton,1000 mm,250 mm,10850 mm,9.9,3.1,417
395,26.34 ton,1350 mm,250 mm,10130 mm,12.7,8.7,338
412,26.23 ton,1290 mm,250 mm,10400 mm,12.7,15.8,338
254,25.63 ton,1350 mm,250 mm,9710 mm,12.6,17.6,336
675,24.03 ton,1570 mm,250 mm,7830 mm,11.5,8.5,264
513,24.22 ton,1560 mm,250 mm,7940 mm,11.3,5.7,510
601,22.95 ton,1430 mm,250 mm,8210 mm,11.6,5.5,506
299,27.98 ton,1340 mm,250 mm,10680 mm,13.5,20.9,310
413,29.89 ton,1390 mm,250 mm,11000 mm,11.8,10.4,337
390,24.26 ton,1290 mm,250 mm,9620 mm,9.6,9.7,336
607,23.75 ton,1050 mm,250 mm,11570 mm,8.3,4.6,340
485,34.99 ton,1570 mm,250 mm,11400 mm,13.9,8.1,249
583,19.58 ton,1050 mm,250 mm,9540 mm,7.3,3.8,338
551,32.95 ton,1420 mm,250 mm,11870 mm,6.6,3.3,277
687,31.98 ton,1420 mm,250 mm,11520 mm,6.8,3.9,276
676,29.59 ton,1330 mm,250 mm,11380 mm,8.6,4.7,434
673,29.62 ton,1330 mm,250 mm,11390 mm,8.6,4.7,436
607,16.65 ton,1010 mm,250 mm,8430 mm,9.3,3.6,346
512,31.23 ton,1430 mm,250 mm,11170 mm,10.5,5.7,440
573,30.86 ton,1380 mm,250 mm,11650 mm,8.5,4.9,433
616,28.16 ton,1330 mm,250 mm,10830 mm,8.5,4.2,442
677,22.19 ton,1000 mm,250 mm,11350 mm,10.1,2.5,425
402,19.29 ton,1300 mm,250 mm,7590 mm,9.5,10.6,300
345,19.12 ton,1000 mm,250 mm,9780 mm,12.3,10.7,331
483,19.12 ton,1000 mm,250 mm,9780 mm,11.6,11.4,327
410,22.7 ton,1270 mm,246 mm,9290 mm,12.6,13.3,278
416,22.7 ton,1270 mm,246 mm,9290 mm,13.1,14.4,273
353,32.76 ton,1420 mm,250 mm,11800 mm,11.4,14.2,527
298,18.06 ton,1240 mm,250 mm,7450 mm,9.1,14.9,519
382,18.61 ton,1000 mm,250 mm,9520 mm,11.2,8.7,338
463,18.61 ton,1000 mm,250 mm,9520 mm,11.2,8.8,338
513,16.88 ton,950 mm,250 mm,9090 mm,11.5,4.7,342
216,29.73 ton,1290 mm,250 mm,11790 mm,11.4,16.6,334
446,15.96 ton,900 mm,250 mm,9070 mm,13.6,8,300
669,18.62 ton,1100 mm,250 mm,8660 mm,3.1,3.6,331
666,25.95 ton,1290 mm,250 mm,10290 mm,6.3,5.5,340
489,26.88 ton,1290 mm,250 mm,10660 mm,8.5,5.3,520
572,24.17 ton,1400 mm,250 mm,8830 mm,10.8,5.2,274
430,25.87 ton,1390 mm,250 mm,9520 mm,12,11,337
643,27.33 ton,1200 mm,250 mm,11650 mm,7,4.7,337
500,34.78 ton,1500 mm,250 mm,11860 mm,10.2,13.6,326
332,28 ton,1390 mm,246 mm,10470 mm,12.7,18.3,314
558,29.25 ton,1300 mm,250 mm,11690 mm,12.9,10.8,352
510,19.29 ton,1300 mm,250 mm,7590 mm,9.6,10.6,300
465,24.03 ton,1570 mm,250 mm,7830 mm,10.9,7.8,264
552,29 ton,1500 mm,250 mm,9890 mm,10.4,13.6,317
640,24.46 ton,1570 mm,250 mm,7970 mm,11.4,8,266
461,24.46 ton,1570 mm,250 mm,7970 mm,11.4,8.2,265
585,17.07 ton,950 mm,250 mm,9190 mm,11.2,6.1,328
434,27.55 ton,1390 mm,250 mm,10140 mm,11.3,10,337
564,16.7 ton,1000 mm,250 mm,8540 mm,3.5,5.7,320
686,18.62 ton,1100 mm,250 mm,8660 mm,3,3.6,332
205,22.86 ton,1350 mm,250 mm,8790 mm,10,18.3,344
542,19.49 ton,1000 mm,250 mm,9970 mm,11.3,6.7,346
296,29.63 ton,1310 mm,250 mm,11660 mm,10.2,17.5,334
334,28.19 ton,1460 mm,244 mm,10120 mm,8.4,12.3,313
613,19.08 ton,1000 mm,250 mm,9760 mm,11,7.7,332
516,19.08 ton,1000 mm,250 mm,9760 mm,11,7.8,332
625,16.78 ton,1010 mm,250 mm,8500 mm,3.6,2,356
559,19.54 ton,1390 mm,250 mm,7190 mm,12.2,10.4,339
349,28.41 ton,1300 mm,250 mm,11180 mm,8.8,12.6,436
566,19.49 ton,1000 mm,250 mm,9970 mm,11.3,6.6,346
447,18.61 ton,1000 mm,250 mm,9520 mm,11.4,9.2,338
648,25.17 ton,1290 mm,250 mm,9980 mm,8.3,2,344
358,22.39 ton,1260 mm,250 mm,9090 mm,8.6,11.6,435
507,29.73 ton,1290 mm,250 mm,11790 mm,9.3,9.9,334
472,18.35 ton,900 mm,250 mm,10430 mm,10.1,10.1,300
382,18.09 ton,900 mm,246 mm,10450 mm,10.3,10,300
461,19.21 ton,900 mm,250 mm,10920 mm,10.3,9.2,301
672,18.59 ton,1000 mm,250 mm,9510 mm,9.8,3.3,417
495,20 ton,1260 mm,250 mm,8120 mm,9.5,12.1,429
694,21.21 ton,1000 mm,250 mm,10850 mm,10,3.1,416
509,26.3 ton,1310 mm,250 mm,10270 mm,9.5,10.4,337
458,29.73 ton,1290 mm,250 mm,11790 mm,9.5,9.9,337
